file_path	size_in_bytes	type	label	source_image_label	associated_specimen	associated_annotation_method	associated_protocol
data/Control/particle_lists/all_ribo_cleaned.star	7401771	http://bia/AnnotationData	Control condition aggregated cleaned ribosome particle coordinates	['Control condition tomogram 06']		_:Ribosome particle picking	
data/Control/particle_lists/all_ribo_refined.star	9017751	http://bia/AnnotationData	Control condition aggregated refined ribosome particle coordinates	['Control condition tomogram 06']		_:Ribosome particle picking	
data/Control/tomograms/TS_006_aretomo.mrc	2943425024	http://bia/Image	Control condition tomogram 06				_:Tomogram reconstruction
