file_path	size_in_bytes	type	label	source_image_label	associated_specimen	associated_annotation_method	associated_protocol	associated_image_acquisition	file_pattern
data/Prey-Phaant/Prey-Phaant-NonDividing/Cell1-Stack01_a9_5022_841_TM1b_cor3.tif	1023814939	http://bia/Image	Cell1-Stack01_a9_5022_841_TM1b_cor3		_:Phaeocystis antarctica specimen			_:FIB-SEM tomography (Zeiss CrossBeam 550)	Prey-Phaant/Prey-Phaant-NonDividing/Cell1-Stack01_a9_5022_841_TM1b_cor3.tif
data/Prey-Phaant/Prey-Phaant-NonDividing/Cell2-Stack01_a11_4982_630_TM1b_cr.tif	1786548479	http://bia/Image	Cell2-Stack01_a11_4982_630_TM1b_cr		_:Phaeocystis antarctica specimen			_:FIB-SEM tomography (Zeiss CrossBeam 550)	Prey-Phaant/Prey-Phaant-NonDividing/Cell2-Stack01_a11_4982_630_TM1b_cr.tif
data/Prey-Phaant/Prey-Phaant-NonDividing/Cell3-Stack01_a12_5834_561_TM1b_cr.tif	1117411179	http://bia/Image	Cell3-Stack01_a12_5834_561_TM1b_cr		_:Phaeocystis antarctica specimen			_:FIB-SEM tomography (Zeiss CrossBeam 550)	Prey-Phaant/Prey-Phaant-NonDividing/Cell3-Stack01_a12_5834_561_TM1b_cr.tif
data/Prey-Phaant/Prey-Phaant-NonDividing/Cell4-Stack02_a1_TM1b_ibc_8b_fm_cr.tif	765823899	http://bia/Image	Cell4-Stack02_a1_TM1b_ibc_8b_fm_cr		_:Phaeocystis antarctica specimen			_:FIB-SEM tomography (Zeiss CrossBeam 550)	Prey-Phaant/Prey-Phaant-NonDividing/Cell4-Stack02_a1_TM1b_ibc_8b_fm_cr.tif
data/Prey-Phaant/Prey-Phaant-NonDividing/Cell5-Stack02_a5_TM1b_ibc_8b_fm_cr.tif	437265535	http://bia/Image	Cell5-Stack02_a5_TM1b_ibc_8b_fm_cr		_:Phaeocystis antarctica specimen			_:FIB-SEM tomography (Zeiss CrossBeam 550)	Prey-Phaant/Prey-Phaant-NonDividing/Cell5-Stack02_a5_TM1b_ibc_8b_fm_cr.tif
data/Prey-Phaant/Prey-Phaant-NonDividing/Cell6-Stack02_a6_TM1b_ibc_8b_fm_cr.tif	514637683	http://bia/Image	Cell6-Stack02_a6_TM1b_ibc_8b_fm_cr		_:Phaeocystis antarctica specimen			_:FIB-SEM tomography (Zeiss CrossBeam 550)	Prey-Phaant/Prey-Phaant-NonDividing/Cell6-Stack02_a6_TM1b_ibc_8b_fm_cr.tif
data/Prey-Phaant/Prey-Phaant-NonDividing/Cell7-Stack02_a9_TM1b_ibc_8b_fm_cr.tif	501866611	http://bia/Image	Cell7-Stack02_a9_TM1b_ibc_8b_fm_cr		_:Phaeocystis antarctica specimen			_:FIB-SEM tomography (Zeiss CrossBeam 550)	Prey-Phaant/Prey-Phaant-NonDividing/Cell7-Stack02_a9_TM1b_ibc_8b_fm_cr.tif
