file_path	size_in_bytes	type	label	source_image_label	associated_specimen	associated_annotation_method	associated_protocol	associated_image_acquisition	file_pattern
data/SMC3CAPH/S1_029.dm4	26306004	http://bia/Image	S1		_:DT40 specimen for SBF-SEM			_:Gatan 3View SBF-SEM on FEI Quanta 250 FEG	SMC3CAPH/S1_{z:d}.dm4
data/SMC3CAPH/S1_030.dm4	26306004	http://bia/Image	S1		_:DT40 specimen for SBF-SEM			_:Gatan 3View SBF-SEM on FEI Quanta 250 FEG	SMC3CAPH/S1_{z:d}.dm4
data/SMC3CAPH/S1_031.dm4	26306004	http://bia/Image	S1		_:DT40 specimen for SBF-SEM			_:Gatan 3View SBF-SEM on FEI Quanta 250 FEG	SMC3CAPH/S1_{z:d}.dm4
data/SMC3CAPH/S1_032.dm4	26306004	http://bia/Image	S1		_:DT40 specimen for SBF-SEM			_:Gatan 3View SBF-SEM on FEI Quanta 250 FEG	SMC3CAPH/S1_{z:d}.dm4
data/SMC3CAPH/S1_033.dm4	26306004	http://bia/Image	S1		_:DT40 specimen for SBF-SEM			_:Gatan 3View SBF-SEM on FEI Quanta 250 FEG	SMC3CAPH/S1_{z:d}.dm4
data/SMC3CAPH/S1_034.dm4	26306004	http://bia/Image	S1		_:DT40 specimen for SBF-SEM			_:Gatan 3View SBF-SEM on FEI Quanta 250 FEG	SMC3CAPH/S1_{z:d}.dm4
data/SMC3CAPH/S1_035.dm4	26306004	http://bia/Image	S1		_:DT40 specimen for SBF-SEM			_:Gatan 3View SBF-SEM on FEI Quanta 250 FEG	SMC3CAPH/S1_{z:d}.dm4
data/SMC3CAPH/S1_036.dm4	26306004	http://bia/Image	S1		_:DT40 specimen for SBF-SEM			_:Gatan 3View SBF-SEM on FEI Quanta 250 FEG	SMC3CAPH/S1_{z:d}.dm4
data/SMC3CAPH/S1_037.dm4	26306004	http://bia/Image	S1		_:DT40 specimen for SBF-SEM			_:Gatan 3View SBF-SEM on FEI Quanta 250 FEG	SMC3CAPH/S1_{z:d}.dm4
data/SMC3CAPH/S1_038.dm4	26306185	http://bia/Image	S1		_:DT40 specimen for SBF-SEM			_:Gatan 3View SBF-SEM on FEI Quanta 250 FEG	SMC3CAPH/S1_{z:d}.dm4
data/SMC3CAPH/S1_039.dm4	26306004	http://bia/Image	S1		_:DT40 specimen for SBF-SEM			_:Gatan 3View SBF-SEM on FEI Quanta 250 FEG	SMC3CAPH/S1_{z:d}.dm4
data/SMC3CAPH/S1_040.dm4	26306004	http://bia/Image	S1		_:DT40 specimen for SBF-SEM			_:Gatan 3View SBF-SEM on FEI Quanta 250 FEG	SMC3CAPH/S1_{z:d}.dm4
data/SMC3CAPH/S1_041.dm4	26306004	http://bia/Image	S1		_:DT40 specimen for SBF-SEM			_:Gatan 3View SBF-SEM on FEI Quanta 250 FEG	SMC3CAPH/S1_{z:d}.dm4
data/SMC3CAPH/S1_042.dm4	26306004	http://bia/Image	S1		_:DT40 specimen for SBF-SEM			_:Gatan 3View SBF-SEM on FEI Quanta 250 FEG	SMC3CAPH/S1_{z:d}.dm4
data/SMC3CAPH/S1_043.dm4	26306004	http://bia/Image	S1		_:DT40 specimen for SBF-SEM			_:Gatan 3View SBF-SEM on FEI Quanta 250 FEG	SMC3CAPH/S1_{z:d}.dm4
data/SMC3CAPH/S1_044.dm4	26306098	http://bia/Image	S1		_:DT40 specimen for SBF-SEM			_:Gatan 3View SBF-SEM on FEI Quanta 250 FEG	SMC3CAPH/S1_{z:d}.dm4
data/SMC3CAPH/S1_045.dm4	26306004	http://bia/Image	S1		_:DT40 specimen for SBF-SEM			_:Gatan 3View SBF-SEM on FEI Quanta 250 FEG	SMC3CAPH/S1_{z:d}.dm4
data/SMC3CAPH/S1_046.dm4	26306004	http://bia/Image	S1		_:DT40 specimen for SBF-SEM			_:Gatan 3View SBF-SEM on FEI Quanta 250 FEG	SMC3CAPH/S1_{z:d}.dm4
data/SMC3CAPH/S1_047.dm4	26306004	http://bia/Image	S1		_:DT40 specimen for SBF-SEM			_:Gatan 3View SBF-SEM on FEI Quanta 250 FEG	SMC3CAPH/S1_{z:d}.dm4
data/SMC3CAPH/S1_048.dm4	26306004	http://bia/Image	S1		_:DT40 specimen for SBF-SEM			_:Gatan 3View SBF-SEM on FEI Quanta 250 FEG	SMC3CAPH/S1_{z:d}.dm4
