file_path	size_in_bytes	type	label	source_image_label	associated_annotation_method	associated_protocol
data/DEF/metadata/TS_029.st	2447785312	http://bia/Image	Tilt series 29	['Frames 29_001_-0.0', 'Frames 29_002_2.0', 'Frames 29_003_-2.0', 'Frames 29_004_-4.0', 'Frames 29_005_4.0', 'Frames 29_006_6.0', 'Frames 29_007_-6.0', 'Frames 29_008_-8.0', 'Frames 29_009_8.0', 'Frames 29_010_10.0', 'Frames 29_011_-10.0', 'Frames 29_012_-12.0', 'Frames 29_013_12.0', 'Frames 29_014_14.0', 'Frames 29_015_-14.0', 'Frames 29_016_-16.0', 'Frames 29_017_16.0', 'Frames 29_018_18.0', 'Frames 29_019_-18.0', 'Frames 29_020_-20.0', 'Frames 29_021_20.0', 'Frames 29_022_22.0', 'Frames 29_023_-22.0', 'Frames 29_024_-24.0', 'Frames 29_025_24.0', 'Frames 29_026_26.0', 'Frames 29_027_-26.0', 'Frames 29_028_-28.0', 'Frames 29_029_28.0', 'Frames 29_030_30.0', 'Frames 29_031_-30.0', 'Frames 29_032_-32.0', 'Frames 29_033_32.0', 'Frames 29_034_34.0', 'Frames 29_035_-34.0', 'Frames 29_036_-36.0', 'Frames 29_037_36.0', 'Frames 29_038_38.0', 'Frames 29_039_-38.0', 'Frames 29_040_-40.0', 'Frames 29_041_40.0', 'Frames 29_042_42.0', 'Frames 29_043_-42.0', 'Frames 29_044_-44.0', 'Frames 29_045_44.0', 'Frames 29_046_46.0', 'Frames 29_047_-46.0', 'Frames 29_048_-48.0', 'Frames 29_049_48.0', 'Frames 29_050_50.0', 'Frames 29_051_-50.0']		_:Tilt series preprocessing
data/DEF/metadata/TS_029.xf	3139					
data/DEF/metadata/TS_030.rawtlt	168					
data/DEF/metadata/TS_030.st	2220084448	http://bia/Image	Tilt series 30	['Frames 30_001_0.0', 'Frames 30_002_2.0', 'Frames 30_003_-2.0', 'Frames 30_004_-4.0', 'Frames 30_005_4.0', 'Frames 30_006_6.0', 'Frames 30_007_-6.0', 'Frames 30_008_-8.0', 'Frames 30_009_8.0', 'Frames 30_010_10.0', 'Frames 30_011_-10.0', 'Frames 30_012_-12.0', 'Frames 30_013_12.0', 'Frames 30_014_14.0', 'Frames 30_015_-14.0', 'Frames 30_016_-16.0', 'Frames 30_017_16.0', 'Frames 30_018_18.0', 'Frames 30_019_-18.0', 'Frames 30_020_-20.0', 'Frames 30_021_20.0', 'Frames 30_022_22.0', 'Frames 30_023_-22.0', 'Frames 30_024_-24.0', 'Frames 30_025_24.0', 'Frames 30_026_26.0', 'Frames 30_027_-26.0', 'Frames 30_028_-28.0', 'Frames 30_029_28.0', 'Frames 30_030_30.0', 'Frames 30_031_-30.0', 'Frames 30_032_-32.0', 'Frames 30_033_32.0', 'Frames 30_034_34.0', 'Frames 30_035_-34.0', 'Frames 30_036_-36.0', 'Frames 30_037_36.0', 'Frames 30_038_38.0', 'Frames 30_039_-38.0', 'Frames 30_040_-40.0', 'Frames 30_041_40.0', 'Frames 30_042_42.0', 'Frames 30_043_-42.0', 'Frames 30_044_-44.0', 'Frames 30_045_44.0', 'Frames 30_046_46.0', 'Frames 30_047_-46.0', 'Frames 30_048_-48.0', 'Frames 30_049_48.0', 'Frames 30_050_50.0', 'Frames 30_051_-50.0']		_:Tilt series preprocessing
data/DEF/metadata/TS_030.xf	2848					
data/DEF/metadata/TS_034.rawtlt	211					
data/DEF/metadata/TS_034.st	2789336608	http://bia/Image	Tilt series 34	['Frames 34_001_0.0', 'Frames 34_002_2.0', 'Frames 34_003_-2.0', 'Frames 34_004_-4.0', 'Frames 34_005_4.0', 'Frames 34_006_6.0', 'Frames 34_007_-6.0', 'Frames 34_008_-8.0', 'Frames 34_009_8.0', 'Frames 34_010_10.0', 'Frames 34_011_-10.0', 'Frames 34_012_-12.0', 'Frames 34_013_12.0', 'Frames 34_014_14.0', 'Frames 34_015_-14.0', 'Frames 34_016_-16.0', 'Frames 34_017_16.0', 'Frames 34_018_18.0', 'Frames 34_019_-18.0', 'Frames 34_020_-20.0', 'Frames 34_021_20.0', 'Frames 34_022_22.0', 'Frames 34_023_-22.0', 'Frames 34_024_-24.0', 'Frames 34_025_24.0', 'Frames 34_026_26.0', 'Frames 34_027_-26.0', 'Frames 34_028_-28.0', 'Frames 34_029_28.0', 'Frames 34_030_30.0', 'Frames 34_031_-30.0', 'Frames 34_032_-32.0', 'Frames 34_033_32.0', 'Frames 34_034_34.0', 'Frames 34_035_-34.0', 'Frames 34_036_-36.0', 'Frames 34_037_36.0', 'Frames 34_038_38.0', 'Frames 34_039_-38.0', 'Frames 34_040_-40.0', 'Frames 34_041_40.0', 'Frames 34_042_42.0', 'Frames 34_043_-42.0', 'Frames 34_044_-44.0', 'Frames 34_045_44.0', 'Frames 34_046_46.0', 'Frames 34_047_-46.0', 'Frames 34_048_-48.0', 'Frames 34_049_48.0', 'Frames 34_050_50.0', 'Frames 34_051_-50.0']		_:Tilt series preprocessing
data/DEF/metadata/TS_034.xf	3577					
data/DEF/metadata/TS_037.rawtlt	144					
data/DEF/metadata/TS_037.st	1935458368	http://bia/Image	Tilt series 37	['Frames 37_001_-0.0', 'Frames 37_002_2.0', 'Frames 37_003_-2.0', 'Frames 37_004_-4.0', 'Frames 37_005_4.0', 'Frames 37_006_6.0', 'Frames 37_007_-6.0', 'Frames 37_008_-8.0', 'Frames 37_009_8.0', 'Frames 37_010_10.0', 'Frames 37_011_-10.0', 'Frames 37_012_-12.0', 'Frames 37_013_12.0', 'Frames 37_014_14.0', 'Frames 37_015_-14.0', 'Frames 37_016_-16.0', 'Frames 37_017_16.0', 'Frames 37_018_18.0', 'Frames 37_019_-18.0', 'Frames 37_020_-20.0', 'Frames 37_021_20.0', 'Frames 37_022_22.0', 'Frames 37_023_-22.0', 'Frames 37_024_-24.0', 'Frames 37_025_24.0', 'Frames 37_026_26.0', 'Frames 37_027_-26.0', 'Frames 37_028_-28.0', 'Frames 37_029_28.0', 'Frames 37_030_30.0', 'Frames 37_031_-30.0', 'Frames 37_032_-32.0', 'Frames 37_033_32.0', 'Frames 37_034_34.0', 'Frames 37_035_-34.0', 'Frames 37_036_-36.0', 'Frames 37_037_36.0', 'Frames 37_038_38.0', 'Frames 37_039_-38.0', 'Frames 37_040_-40.0', 'Frames 37_041_40.0', 'Frames 37_042_42.0', 'Frames 37_043_-42.0', 'Frames 37_044_-44.0', 'Frames 37_045_44.0', 'Frames 37_046_46.0', 'Frames 37_047_-46.0', 'Frames 37_048_-48.0', 'Frames 37_049_48.0', 'Frames 37_050_50.0', 'Frames 37_051_-50.0']		_:Tilt series preprocessing
data/DEF/metadata/TS_037.xf	2482					
data/DEF/metadata/TS_041.rawtlt	157					
data/DEF/metadata/TS_041.st	2049308800	http://bia/Image	Tilt series 41	['Frames 41_001_-0.0', 'Frames 41_002_2.0', 'Frames 41_003_-2.0', 'Frames 41_004_-4.0', 'Frames 41_005_4.0', 'Frames 41_006_6.0', 'Frames 41_007_-6.0', 'Frames 41_008_-8.0', 'Frames 41_009_8.0', 'Frames 41_010_10.0', 'Frames 41_011_-10.0', 'Frames 41_012_-12.0', 'Frames 41_013_12.0', 'Frames 41_014_14.0', 'Frames 41_015_-14.0', 'Frames 41_016_-16.0', 'Frames 41_017_16.0', 'Frames 41_018_18.0', 'Frames 41_019_-18.0', 'Frames 41_020_-20.0', 'Frames 41_021_20.0', 'Frames 41_022_22.0', 'Frames 41_023_-22.0', 'Frames 41_024_-24.0', 'Frames 41_025_24.0', 'Frames 41_026_26.0', 'Frames 41_027_-26.0', 'Frames 41_028_-28.0', 'Frames 41_029_28.0', 'Frames 41_030_30.0', 'Frames 41_031_-30.0', 'Frames 41_032_-32.0', 'Frames 41_033_32.0', 'Frames 41_034_34.0', 'Frames 41_035_-34.0', 'Frames 41_036_-36.0', 'Frames 41_037_36.0', 'Frames 41_038_38.0', 'Frames 41_039_-38.0', 'Frames 41_040_-40.0', 'Frames 41_041_40.0', 'Frames 41_042_42.0', 'Frames 41_043_-42.0', 'Frames 41_044_-44.0', 'Frames 41_045_44.0', 'Frames 41_046_46.0', 'Frames 41_047_-46.0', 'Frames 41_048_-48.0', 'Frames 41_049_48.0', 'Frames 41_050_50.0', 'Frames 41_051_-50.0']		_:Tilt series preprocessing
data/DEF/metadata/TS_041.xf	2629					
data/DEF/metadata/TS_043.rawtlt	171					
data/DEF/metadata/TS_043.st	2277009664	http://bia/Image	Tilt series 43	['Frames 43_001_-0.0', 'Frames 43_002_2.0', 'Frames 43_003_-2.0', 'Frames 43_004_-4.0', 'Frames 43_005_4.0', 'Frames 43_006_6.0', 'Frames 43_007_-6.0', 'Frames 43_008_-8.0', 'Frames 43_009_8.0', 'Frames 43_010_10.0', 'Frames 43_011_-10.0', 'Frames 43_012_-12.0', 'Frames 43_013_12.0', 'Frames 43_014_14.0', 'Frames 43_015_-14.0', 'Frames 43_016_-16.0', 'Frames 43_017_16.0', 'Frames 43_018_18.0', 'Frames 43_019_-18.0', 'Frames 43_020_-20.0', 'Frames 43_021_20.0', 'Frames 43_022_22.0', 'Frames 43_023_-22.0', 'Frames 43_024_-24.0', 'Frames 43_025_24.0', 'Frames 43_026_26.0', 'Frames 43_027_-26.0', 'Frames 43_028_-28.0', 'Frames 43_029_28.0', 'Frames 43_030_30.0', 'Frames 43_031_-30.0', 'Frames 43_032_-32.0', 'Frames 43_033_32.0', 'Frames 43_034_34.0', 'Frames 43_035_-34.0', 'Frames 43_036_-36.0', 'Frames 43_037_36.0', 'Frames 43_038_38.0', 'Frames 43_039_-38.0', 'Frames 43_040_-40.0', 'Frames 43_041_40.0', 'Frames 43_042_42.0', 'Frames 43_043_-42.0', 'Frames 43_044_-44.0', 'Frames 43_045_44.0', 'Frames 43_046_46.0', 'Frames 43_047_-46.0', 'Frames 43_048_-48.0', 'Frames 43_049_48.0', 'Frames 43_050_50.0', 'Frames 43_051_-50.0']		_:Tilt series preprocessing
data/DEF/metadata/TS_043.xf	2921					
data/DEF/metadata/TS_045.rawtlt	128					
