file_path	size_in_bytes	type	label	source_image_label	associated_annotation_method	associated_protocol
data/VPP/metadata/TS_0004.st	2903187040	http://bia/Image	Tilt series 4	['Frames 4_001_-0.0', 'Frames 4_002_2.0', 'Frames 4_003_-2.0', 'Frames 4_004_-4.0', 'Frames 4_005_4.0', 'Frames 4_006_6.0', 'Frames 4_007_-6.0', 'Frames 4_008_-8.0', 'Frames 4_009_8.0', 'Frames 4_010_10.0', 'Frames 4_011_-10.0', 'Frames 4_012_-12.0', 'Frames 4_013_12.0', 'Frames 4_014_14.0', 'Frames 4_015_-14.0', 'Frames 4_016_-16.0', 'Frames 4_017_16.0', 'Frames 4_018_18.0', 'Frames 4_019_-18.0', 'Frames 4_020_-20.0', 'Frames 4_021_20.0', 'Frames 4_022_22.0', 'Frames 4_023_-22.0', 'Frames 4_024_-24.0', 'Frames 4_025_24.0', 'Frames 4_026_26.0', 'Frames 4_027_-26.0', 'Frames 4_028_-28.0', 'Frames 4_029_28.0', 'Frames 4_030_30.0', 'Frames 4_031_-30.0', 'Frames 4_032_-32.0', 'Frames 4_033_32.0', 'Frames 4_034_34.0', 'Frames 4_035_-34.0', 'Frames 4_036_-36.0', 'Frames 4_037_36.0', 'Frames 4_038_38.0', 'Frames 4_039_-38.0', 'Frames 4_040_-40.0', 'Frames 4_041_40.0', 'Frames 4_042_42.0', 'Frames 4_043_-42.0', 'Frames 4_044_-44.0', 'Frames 4_045_44.0', 'Frames 4_046_46.0', 'Frames 4_047_-46.0', 'Frames 4_048_-48.0', 'Frames 4_049_48.0', 'Frames 4_050_50.0', 'Frames 4_051_-50.0']		_:Tilt series preprocessing
data/VPP/metadata/TS_0004.xf	3723					
data/VPP/metadata/TS_0005.rawtlt	220					
data/VPP/metadata/TS_0005.st	2903187040	http://bia/Image	Tilt series 5	['Frames 5_001_-0.0', 'Frames 5_002_2.0', 'Frames 5_003_-2.0', 'Frames 5_004_-4.0', 'Frames 5_005_4.0', 'Frames 5_006_6.0', 'Frames 5_007_-6.0', 'Frames 5_008_-8.0', 'Frames 5_009_8.0', 'Frames 5_010_10.0', 'Frames 5_011_-10.0', 'Frames 5_012_-12.0', 'Frames 5_013_12.0', 'Frames 5_014_14.0', 'Frames 5_015_-14.0', 'Frames 5_016_-16.0', 'Frames 5_017_16.0', 'Frames 5_018_18.0', 'Frames 5_019_-18.0', 'Frames 5_020_-20.0', 'Frames 5_021_20.0', 'Frames 5_022_22.0', 'Frames 5_023_-22.0', 'Frames 5_024_-24.0', 'Frames 5_025_24.0', 'Frames 5_026_26.0', 'Frames 5_027_-26.0', 'Frames 5_028_-28.0', 'Frames 5_029_28.0', 'Frames 5_030_30.0', 'Frames 5_031_-30.0', 'Frames 5_032_-32.0', 'Frames 5_033_32.0', 'Frames 5_034_34.0', 'Frames 5_035_-34.0', 'Frames 5_036_-36.0', 'Frames 5_037_36.0', 'Frames 5_038_38.0', 'Frames 5_039_-38.0', 'Frames 5_040_-40.0', 'Frames 5_041_40.0', 'Frames 5_042_42.0', 'Frames 5_043_-42.0', 'Frames 5_044_-44.0', 'Frames 5_045_44.0', 'Frames 5_046_46.0', 'Frames 5_047_-46.0', 'Frames 5_048_-48.0', 'Frames 5_049_48.0', 'Frames 5_050_50.0', 'Frames 5_051_-50.0']		_:Tilt series preprocessing
data/VPP/metadata/TS_0005.xf	3723					
data/VPP/metadata/TS_0006.rawtlt	220					
data/VPP/metadata/TS_0006.st	2903187040	http://bia/Image	Tilt series 6	['Frames 6_001_-0.0', 'Frames 6_002_2.0', 'Frames 6_003_-2.0', 'Frames 6_004_-4.0', 'Frames 6_005_4.0', 'Frames 6_006_6.0', 'Frames 6_007_-6.0', 'Frames 6_008_-8.0', 'Frames 6_009_8.0', 'Frames 6_010_10.0', 'Frames 6_011_-10.0', 'Frames 6_012_-12.0', 'Frames 6_013_12.0', 'Frames 6_014_14.0', 'Frames 6_015_-14.0', 'Frames 6_016_-16.0', 'Frames 6_017_16.0', 'Frames 6_018_18.0', 'Frames 6_019_-18.0', 'Frames 6_020_-20.0', 'Frames 6_021_20.0', 'Frames 6_022_22.0', 'Frames 6_023_-22.0', 'Frames 6_024_-24.0', 'Frames 6_025_24.0', 'Frames 6_026_26.0', 'Frames 6_027_-26.0', 'Frames 6_028_-28.0', 'Frames 6_029_28.0', 'Frames 6_030_30.0', 'Frames 6_031_-30.0', 'Frames 6_032_-32.0', 'Frames 6_033_32.0', 'Frames 6_034_34.0', 'Frames 6_035_-34.0', 'Frames 6_036_-36.0', 'Frames 6_037_36.0', 'Frames 6_038_38.0', 'Frames 6_039_-38.0', 'Frames 6_040_-40.0', 'Frames 6_041_40.0', 'Frames 6_042_42.0', 'Frames 6_043_-42.0', 'Frames 6_044_-44.0', 'Frames 6_045_44.0', 'Frames 6_046_46.0', 'Frames 6_047_-46.0', 'Frames 6_048_-48.0', 'Frames 6_049_48.0', 'Frames 6_050_50.0', 'Frames 6_051_-50.0']		_:Tilt series preprocessing
data/VPP/metadata/TS_0006.xf	3723					
data/VPP/metadata/TS_0007.rawtlt	179					
data/VPP/metadata/TS_0007.st	2333934880	http://bia/Image	Tilt series 7	['Frames 7_001_0.0', 'Frames 7_002_2.0', 'Frames 7_003_-2.0', 'Frames 7_004_-4.0', 'Frames 7_005_4.0', 'Frames 7_006_6.0', 'Frames 7_007_-6.0', 'Frames 7_008_-8.0', 'Frames 7_009_8.0', 'Frames 7_010_10.0', 'Frames 7_011_-10.0', 'Frames 7_012_-12.0', 'Frames 7_013_12.0', 'Frames 7_014_14.0', 'Frames 7_015_-14.0', 'Frames 7_016_-16.0', 'Frames 7_017_16.0', 'Frames 7_018_18.0', 'Frames 7_019_-18.0', 'Frames 7_020_-20.0', 'Frames 7_021_20.0', 'Frames 7_022_22.0', 'Frames 7_023_-22.0', 'Frames 7_024_-24.0', 'Frames 7_025_24.0', 'Frames 7_026_26.0', 'Frames 7_027_-26.0', 'Frames 7_028_-28.0', 'Frames 7_029_28.0', 'Frames 7_030_30.0', 'Frames 7_031_-30.0', 'Frames 7_032_-32.0', 'Frames 7_033_32.0', 'Frames 7_034_34.0', 'Frames 7_035_-34.0', 'Frames 7_036_-36.0', 'Frames 7_037_36.0', 'Frames 7_038_38.0', 'Frames 7_039_-38.0', 'Frames 7_040_-40.0', 'Frames 7_041_40.0', 'Frames 7_042_42.0', 'Frames 7_043_-42.0', 'Frames 7_044_-44.0', 'Frames 7_045_44.0', 'Frames 7_046_46.0', 'Frames 7_047_-46.0', 'Frames 7_048_-48.0', 'Frames 7_049_48.0', 'Frames 7_050_50.0', 'Frames 7_051_-50.0']		_:Tilt series preprocessing
